email_body,subject_line,translation,
"Greg/Phillip,  Attached is the Grande Communications Service Agreement.
The business points can be found in Exhibit C.  I Can get the Non-Disturbance agreement after it has been executed by you and Grande.
I will fill in the Legal description of the property one I have received it.
Please execute and send to:  Grande Communications, 401 Carlson Circle, San Marcos Texas, 78666 Attention Hunter Williams.
<<Bishopscontract.doc>>
",Service Agreement,"[이름], 첨부된 [프로젝트] 계약서입니다.
사업 사항은 부록 C에서 확인할 수 있습니다. 귀하와 [이름]가 계약서를 체결한 후에 방해 금지 계약을 받을 수 있습니다.
제가 계약서를 받으면 해당 부동산의 법적 설명을 작성하겠습니다.
다음 주소로 작성하여 보내주십시오. [주소], 담당자 [이름].",
"Phillip & Keith  Attached is the first draw request, I will need some of these funds immediately.
I think checks out of Bishops Corner, L.P. may be the easiest, or you can wire money to me and I can write the checks when needed.
Please let me know how you wish to handle this and I will proceed.
Additionally, it is getting close to closing.
I will need to get contracts signed at this point as soon as possible.
We can handle this in two ways.
I prefer that you elect me as a Vice - President of the General Partner and then I will sign all documents, or I can Federal Express contracts (this is more difficult).
I have a funeral at 10:00 and I will be back about 1:00.
I look forward to hearing from you.
Greg     - Draw # 1 - 10.25.01.xls
",Bishops Corner,"[이름]과 [이름]이 첨부된 첫 번째 인출 요청이 있습니다. 일부 자금이 지금 바로 필요합니다.
Bishops Corner, L.P.에서 수표를 발행하는 것이 가장 쉬울 것 같습니다. 아니면 저에게 송금하시면 필요할 때 수표를 쓸 수 있습니다.
어떻게 처리하고 싶은지 알려주시면 진행하겠습니다.
마감이 임박했기 때문에 가능한 한 빨리 계약서에 서명해야 합니다.
두 가지 방법으로 처리할 수 있습니다.
저는 저를 제너럴 파트너 부사장으로 선출해 주시면 모든 문서에 서명하겠습니다. 아니면 Federal Express 계약서에 서명할 수 있습니다(이 방법이 더 어렵습니다).
10시에 장례식이 있고 1시경에 돌아올 예정입니다.
연락을 기다리겠습니다.",
"Your Internet Banking accounts are now setup again for accessing.
The login id is still your main acct.
# with the password being reset to the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder).
You will then be directed to a screen that asks for information such as: Name Address City, State Zip+4 Phone # E-Mail Address  After entering this information and clicking submit, you will then be instructed to change your password to anything that you desire.
Always remember that your password is case sensitive.
One major change is the wording of your accounts names (they have changed to product types and not descriptions).
You can change your account descriptions by clicking on the Nicknames button and entering your own account description.
We are still working on getting the information to post again correctly (your old account information has been removed, and we hope to have this information converted shortly and back on-line), so you will notice that credits and debits do not show up in the appropriate columns.
Transaction descriptions are correct and the balances information is correct as of our last day of processing (11/16/01).
We appreciate your patience and continued support.
Our goal is to be fully operational and all information corrected before the holiday season.
Please make sure to record any suggestions (or problems) that you might have concerning our web site.
Again, thanks for banking with State Bank & Trust and happy surfing.
Sincerely,
",Internet Banking,"인터넷 뱅킹 계좌가 다시 설정되었습니다.
로그인 ID는 여전히 기본 계좌입니다.
# 비밀번호는 SSN#의 마지막 여섯(6)자리로 재설정됩니다(기본 계좌 소유자의 SSN# 또는 TIN#).
그런 다음 이름, 주소, 도시, 주, 우편번호+4, 전화번호, 이메일 주소와 같은 정보를 묻는 화면으로 이동합니다. 이 정보를 입력하고 제출을 클릭하면 비밀번호를 원하는 대로 변경하라는 지시가 표시됩니다.
비밀번호는 대소문자를 구분한다는 점을 항상 기억하세요.
가장 큰 변경 사항 중 하나는 계좌 이름의 문구입니다(제품 유형으로 변경되었고 설명은 아님).
별명 버튼을 클릭하고 계좌 설명을 직접 입력하면 계좌 설명을 변경할 수 있습니다.
정보를 다시 올바르게 게시하기 위해 계속 작업하고 있습니다(이전 계좌 정보는 삭제되었으며 이 정보를 곧 변환하여 온라인으로 다시 게시할 예정입니다). 따라서 해당 열에 입금과 출금이 표시되지 않습니다.
거래 설명은 정확하고 잔액 정보는 마지막 처리일(01년 11월 16일) 기준으로 정확합니다.
귀하의 인내심과 지속적인 지원에 감사드립니다.
당사의 목표는 휴일 시즌 전에 모든 정보를 완벽하게 운영하고 수정하는 것입니다.
당사 웹사이트와 관련하여 제안(또는 문제)이 있으면 반드시 기록해 주십시오.
다시 한번 [기업명]에서 뱅킹을 해주셔서 감사드립니다.
",
"To our IBS Customers that are still hanging in there:  We understand your continued frustration and express our sincerest apologies for our inability to give complete and accurate answers to your questions.
The problems that we are seeing are one of three (3) possibilities:  1)  You have entered your password incorrectly (or what you thought was the correct password) and been given the error message that you have exceeded your opportunities for today, and you receive the message ""You have failed to correctly login three times today; please try again tomorrow, or contact the bank at 830-379-5236 to have your password reset.""
This is the easiest problem to correct and we can fix this one quickly with you online (on the phone).
Should you receive this message, please call our Computer Department and ask for either myself (Howard Gordon) @ 830-401-1185, Christina Kirby @ 830-401-1189, or Lora Robles @ 830-401-1182.
If you reach our voice mail (or another employee), please leave your Name, Account # and call back #.
2)  You are not using the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder).
Please try again using the last six (6) digits, or call us to determine who we have recorded as the primary account holder.
3)  If you see this error message ""Invalid login; please try again"" (after three [3] or more tries), then you possibly fall into this last category.
Your account is one of the few that did not convert correctly (we will not release any information about these accounts until we verify that all information is correct and accurate).
We are finalizing these accounts today and should have them available for access this afternoon (late) or this evening.
Once we release these accounts for IBS access, you will have to again use the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder), then you will be directed to a screen that asks for information such as:  Name Address City, State Zip+4 Phone # E-Mail Address  After entering this information and clicking submit, you will then be instructed to change your password to anything that you desire (you can at this point change your password back to what it was before).
Always remember that your password is case sensitive.
Should you get into IBS (before early evening [6:00pm]), the balance and transactional information displayed is as of 11/16/01 (Friday night).
We will have this information updated by 6:00pm (hopefully), and then information will be as of Monday (11/19/01).
Again we want to thank you for your patience through this (trying) ordeal, and we look forward to continuing to service your IBS needs in the future.
Sincerely,
",Internet Banking,"아직도 버티고 계신 IBS 고객 여러분께: 저희는 여러분의 지속적인 좌절을 이해하며, 여러분의 질문에 완전하고 정확한 답변을 드릴 수 없어 진심으로 사과드립니다.
저희가 보고 있는 문제는 세 가지(3) 가능성 중 하나입니다. 1) 비밀번호를 잘못 입력하셨거나(또는 올바른 비밀번호라고 생각하신 비밀번호를 입력하셨거나) 오늘의 기회를 초과했다는 오류 메시지가 표시되고 ""오늘 세 번이나 올바르게 로그인하지 못했습니다. 내일 다시 시도하시거나 [전화번호]으로 은행에 연락하여 비밀번호를 재설정하세요.""라는 메시지가 표시됩니다.
이것은 가장 쉽게 해결할 수 있는 문제이며, 저희는 온라인(전화)으로 여러분과 함께 이 문제를 빠르게 해결할 수 있습니다.
이 메시지를 받으셨다면, 저희 컴퓨터 부서로 전화하여 저([이름]) @ [전화번호], [이름1] @ [전화번호1] 또는 [이름2] @ [전화번호2].
음성 메일(또는 다른 직원)에 연결되면 이름, 계정 번호, 콜백 번호를 남겨주세요.
2) 사회보장번호(SSN#)의 마지막 여섯(6)자리를 사용하지 않습니다(이것은 기본 계정 소유자의 사회보장번호 또는 Tin#입니다).
마지막 여섯(6)자리를 사용하여 다시 시도하거나, 전화하여 기본 계정 소유자로 기록한 사람을 확인하세요.
3) ""잘못된 로그인입니다. 다시 시도하세요""라는 오류 메시지가 표시되면(세 번[3] 번 이상 시도한 후) 마지막 범주에 속할 수 있습니다.
귀하의 계정은 올바르게 변환되지 않은 몇 안 되는 계정 중 하나입니다(모든 정보가 정확하고 올바른지 확인하기 전까지는 이러한 계정에 대한 정보를 공개하지 않습니다).
오늘 이러한 계정을 마무리하고 있으며 오늘 오후(늦게) 또는 오늘 저녁에 액세스할 수 있을 것입니다.
IBS 접근을 위해 이러한 계정을 해제하면 다시 SSN#의 마지막 여섯(6)자리를 사용해야 합니다(이것은 기본 계정 소유자의 SSN# 또는 TIN#입니다). 그러면 이름, 주소, 도시, 주, 우편번호+4, 전화번호, 이메일 주소와 같은 정보를 요청하는 화면으로 이동하게 됩니다. 이 정보를 입력하고 제출을 클릭하면 비밀번호를 원하는 대로 변경하라는 지시를 받게 됩니다(이 시점에서 비밀번호를 이전 상태로 되돌릴 수 있습니다).
비밀번호는 대소문자를 구분한다는 점을 항상 기억하세요.
IBS에 접속하면(저녁 일찍[오후 6시]) 표시되는 잔액 및 거래 정보는 11/16/01(금요일 밤) 기준입니다.
이 정보는 오후 6시(희망적으로)까지 업데이트되고, 그런 다음 정보는 월요일(11/19/01) 기준입니다.
다시 한번, 이 (힘든) 시련을 인내해 주셔서 감사드리고, 앞으로도 IBS에 대한 서비스를 계속 제공할 수 있기를 기대합니다.
진심으로,
",
"Phillip Good Morning!
I hope you had a wonderful Thanksgiving with your family and safe travels.
As per our meeting on Tuesday, please identify people you think will be good for the expert story roles.
You can provide me a list and either contact them first or provide me with an introduction to get their commitment.
Thanks a million in advance for your continued support of this project.
",SMEs for expert stories,"[이름], 좋은 아침입니다!
가족과 함께 멋진 추수감사절을 보내셨고 여행도 안전하셨기를 바랍니다.
화요일 회의에 따라 전문가 스토리 역할에 적합할 것 같은 사람을 알려주세요.
목록을 제공해 주시고 먼저 연락하시거나 소개를 해 주시면 참여를 얻을 수 있습니다.
이 프로젝트에 대한 지속적인 지원에 미리 감사드립니다.
",
"Phillip,  Ina scheduled the conference room for tomorrow, so she's probably already got it on your schedule, but FYI - our meeting will be in the new Enron building, Room 6104.
See you at 10:00.
Mery   This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information.
If you have received it in error, please notify the sender immediately and delete the original.
Any other use of the email by you is prohibited.
",Room for Tomorrow's Meeting,"[이름], [이름1]가 내일 회의실을 예약했으니 아마 이미 당신 일정에 포함되었을 겁니다. 하지만 우리 회의는 [회의실]에서 열릴 겁니다.
10시에 뵙겠습니다.
이 메시지는 지정된 수신자에게만 전송되며 특권, 독점 또는 기타 비공개 정보가 포함될 수 있습니다.
오류로 수신된 경우 즉시 발신자에게 알리고 원본을 삭제하세요.
이메일을 다른 용도로 사용하는 것은 금지되어 있습니다.",
"Phillip,  Thank you for meeting with us today.
I want to take a few minutes to summarize the decisions that came out of our meeting.
1.
Feedback Approach: We will incorporate the ideas and suggestions you gave us and move forward with this approach.
2.
SME Review of Knowledge System Topics: When the time comes for Topics reviews, we will send you the name of the SME who is responsible for sign-off on each topic.
3.
Conversion and Arbitrage Problems: We will brainstorm ways to incorporate more problems without going over our 4-6 hour target.
We will meet with you next Tuesday at 10:00 to review the problems as we've designed them so far and arrive at a solution.
(I will send an e-mail Monday with the room number.)
Have a good weekend.
Mery   This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information.
If you have received it in error, please notify the sender immediately and delete the original.
Any other use of the email by you is prohibited.
",Summary of Today's Meeting,"[이름], 오늘 저희와 만나 주셔서 감사합니다.
저희 회의에서 나온 결정 사안 요약입니다.
1.
피드백 접근 방식: 저희는 귀하가 주신 아이디어와 제안을 통합하여 이 접근 방식으로 진행할 것입니다.
2.
SME의 지식 시스템 주제 검토: 주제 검토 시간이 되면 각 주제에 대한 승인을 담당하는 SME의 이름을 보내드리겠습니다.
3.
전환 및 차익거래 문제: 저희는 4~6시간 목표를 초과하지 않고 더 많은 문제를 통합하는 방법에 대해 브레인스토밍할 것입니다.
저희는 다음 화요일 오전 10시에 만나 지금까지 설계한 문제를 검토하고 해결책을 도출할 것입니다.
(월요일에 방 번호가 적힌 이메일을 보내드리겠습니다.)
좋은 주말 보내세요.
이 메시지는 지정된 수신자에게만 전송되며 특권, 독점 또는 기타 비공개 정보가 포함될 수 있습니다.
오류로 수신된 경우 즉시 발신자에게 알리고 원본을 삭제하세요.
다른 용도로 당신이 보내는 이메일은 금지되어 있습니다.",
"Phillip,  I will get a room for our Wednesday 10:00 meeting and e-mail you with the room number.
FYI, our goal is to discuss the expert path (best answers) for the storage problem and to ask you some specific questions regarding storage.
Also, if you have time, could you send me a definition of Intra-Month Risk?
Thank you for your help.
",Wednesday Meeting,"[이름], 수요일 오전 10시 회의를 위해 방을 구하고 방 번호를 이메일로 보내드리겠습니다.
FYI, 저희의 목표는 보관 문제에 대한 전문가 경로(최상의 답변)를 논의하고 보관에 대한 구체적인 질문을 드리는 것입니다.
또한 시간이 되시면 월간 위험의 정의를 보내주시겠습니까?
도와주셔서 감사합니다.",
"To all of our esteemed & prized Internet Banking  (IBS) Clients:  You probably have begun to wonder does anyone ever return phone calls (or e-mails).
We really do but have been holed up trying to complete this project ASAP.
We knew that this might upset some clients, but we found that this is the quickest way to fix this problem and get our users back on-line.
We have finalized the movement of your customer account #s and re-linked your additional accounts back to your primary Login ID (Acct #).
This process was more daunting than we anticipated and having to verify 1100 IBS users and account #s (to insure your data integrity and confidentiality) was even more grueling than expected.
After verifying data and Login IDs, we believe that we are on the right track.
Some of you (our IBS clients) might notice your accounts displayed more than once or additional accounts displayed that you may (or may not) want displayed on your IBS screen.
Should this be the case, please e-mail (or phone) the information to us and we will remove this information right away.
To our IBS Billpayer clients:  During this process, we seem to have misplaced (blown away) your bill payment information (particularly anyone that has [had] reoccurring payments scheduled to process on particular days).
This has become our highest priority to retrieve this information, thus alleviating the process of having to request that our IBS Billpayers re-enter this information.
We are going to waive all bill payment charges for the months of November & December, 2001 to try and regain your confidence (and support).
Again, we deeply express our regrets and hope that we (yourselves and ourselves) do not have to go through this process again.
Should you be one of our IBS clients that still has not gained access to your account information, please refer to the following information:
",How do I eat crow and still make it tasty???????,"저희의 모든 존경스럽고 소중한 인터넷 뱅킹(IBS) 고객 여러분께: 여러분은 아마도 누군가가 전화(또는 이메일)에 답장을 하는지 궁금해하기 시작했을 것입니다.
저희는 정말 답장을 하지만 이 프로젝트를 최대한 빨리 완료하려고 애쓰고 있습니다.
저희는 이것이 일부 고객을 화나게 할 수 있다는 것을 알고 있었지만, 이것이 이 문제를 해결하고 사용자를 다시 온라인으로 되돌리는 가장 빠른 방법이라는 것을 알게 되었습니다.
저희는 고객 계좌 번호의 이동을 완료하고 추가 계좌를 기본 로그인 ID(Acct #)에 다시 연결했습니다.
이 프로세스는 예상보다 더 어려웠고 1,100개의 IBS 사용자와 계좌 번호를 확인해야 했기 때문에(데이터 무결성과 기밀성을 보장하기 위해) 예상보다 더 힘들었습니다.
데이터와 로그인 ID를 확인한 후, 저희는 올바른 길을 가고 있다고 믿습니다.
저희 IBS 고객 중 일부는 계좌가 두 번 이상 표시되거나 IBS 화면에 표시하고 싶지 않은(또는 원하지 않는) 추가 계좌가 표시되는 것을 알아차릴 수 있습니다.
이 경우 이메일을 보내주십시오. (또는 전화로) 정보를 저희에게 보내주시면 저희가 이 정보를 즉시 삭제하겠습니다.
IBS Billpayer 고객에게: 이 과정에서 저희는 귀하의 청구서 지불 정보(특히 특정 날짜에 처리되도록 예약된 정기 지불이 있는 모든 사람)를 분실(날려버림)한 것 같습니다.
이 정보를 검색하는 것이 저희의 최우선 과제가 되었으며, 따라서 저희 IBS Billpayer가 이 정보를 다시 입력하도록 요청해야 하는 절차를 완화할 수 있었습니다.
저희는 귀하의 신뢰(와 지원)를 회복하기 위해 2001년 11월과 12월의 모든 청구서 지불 수수료를 면제할 것입니다.
다시 한번, 저희는 깊은 유감을 표하며 저희(귀하와 저희 자신)가 이 절차를 다시 거치지 않기를 바랍니다.
아직 귀하의 계정 정보에 액세스하지 못한 저희 IBS 고객 중 한 명이라면 다음 정보를 참조하십시오.
",
"Wade,   I understood your number one priority was to deal with your vehicle  situation.
You need to take care of it this week.
Lucy can't hold the  tenants to a standard (vehicles must be in running order with valid stickers)  if the staff doesn't live up to it.
If you decide to buy a small truck and  you want to list me as an employer for credit purposes, I will vouch for your  income.
Phillip
",For Wade,"[이름], 당신의 최우선 순위는 차량 상황을 처리하는 것이라고 이해했습니다.
이번 주에 처리해야 합니다.
[이름1]는 직원들이 그것을 충족시키지 못한다면 세입자들에게 기준(차량은 유효한 스티커가 부착된 작동 상태여야 함)을 적용할 수 없습니다.
소형 트럭을 사기로 결정하고 신용 목적으로 저를 고용주로 등록하고 싶다면, 저는 당신의 소득을 보증하겠습니다.

[이름2]",
