email_body,subject_line,translation
"Phillip & Keith  Attached is the first draw request, I will need some of these funds immediately.
I think checks out of Bishops Corner, L.P. may be the easiest, or you can wire money to me and I can write the checks when needed.
Please let me know how you wish to handle this and I will proceed.
Additionally, it is getting close to closing.
I will need to get contracts signed at this point as soon as possible.
We can handle this in two ways.
I prefer that you elect me as a Vice - President of the General Partner and then I will sign all documents, or I can Federal Express contracts (this is more difficult).
I have a funeral at 10:00 and I will be back about 1:00.
I look forward to hearing from you.
Greg     - Draw # 1 - 10.25.01.xls
",Bishops Corner,"[이름]과 [이름]이 첨부된 첫 번째 인출 요청이 있습니다. 일부 자금이 지금 바로 필요합니다.
Bishops Corner, L.P.에서 수표를 발행하는 것이 가장 쉬울 것 같습니다. 아니면 저에게 송금하시면 필요할 때 수표를 쓸 수 있습니다.
어떻게 처리하고 싶은지 알려주시면 진행하겠습니다.
마감이 임박했기 때문에 가능한 한 빨리 계약서에 서명해야 합니다.
두 가지 방법으로 처리할 수 있습니다.
저는 저를 제너럴 파트너 부사장으로 선출해 주시면 모든 문서에 서명하겠습니다. 아니면 Federal Express 계약서에 서명할 수 있습니다(이 방법이 더 어렵습니다).
10시에 장례식이 있고 1시경에 돌아올 예정입니다.
연락을 기다리겠습니다."
"Your Internet Banking accounts are now setup again for accessing.
The login id is still your main acct.
# with the password being reset to the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder).
You will then be directed to a screen that asks for information such as: Name Address City, State Zip+4 Phone # E-Mail Address  After entering this information and clicking submit, you will then be instructed to change your password to anything that you desire.
Always remember that your password is case sensitive.
One major change is the wording of your accounts names (they have changed to product types and not descriptions).
You can change your account descriptions by clicking on the Nicknames button and entering your own account description.
We are still working on getting the information to post again correctly (your old account information has been removed, and we hope to have this information converted shortly and back on-line), so you will notice that credits and debits do not show up in the appropriate columns.
Transaction descriptions are correct and the balances information is correct as of our last day of processing (11/16/01).
We appreciate your patience and continued support.
Our goal is to be fully operational and all information corrected before the holiday season.
Please make sure to record any suggestions (or problems) that you might have concerning our web site.
Again, thanks for banking with State Bank & Trust and happy surfing.
Sincerely,
",Internet Banking,"귀하의 인터넷 뱅킹 계좌가 다시 설정되었습니다.
로그인 ID는 기존과 동일하게 기본 계좌로 유지됩니다.
비밀번호는 기본 계좌 소유자의 고유 식별번호(예: 주민번호 또는 납세자번호)의 마지막 6자리로 초기화됩니다.

로그인 후에는 이름, 주소, 도시, 주, 우편번호+4, 전화번호, 이메일 주소 등 기본 고객정보 입력 화면이 나타납니다.
해당 정보를 입력하고 제출하면, 비밀번호를 새로 설정하라는 안내가 표시됩니다.

※ 비밀번호는 대소문자를 구분하니 설정 시 유의해 주세요.

이번 변경의 주요 사항 중 하나는 계좌 명칭 표기 방식입니다.
이제 계좌 이름은 설명이 아닌 제품 유형으로 표시되며,
“별명” 버튼을 클릭해 사용자가 원하는 계좌 설명을 직접 입력하실 수 있습니다.

또한, 이전 계좌 정보는 삭제된 상태이며,
입출금 내역 열이 일시적으로 비어 있을 수 있습니다.
저희는 해당 정보를 곧 변환해 온라인으로 다시 제공해드릴 예정입니다.

현재 표시되는 거래 설명 및 잔액 정보는 [날짜] 기준으로 정확합니다.

항상 인내해주시고 저희 서비스를 지속적으로 이용해주셔서 진심으로 감사드립니다.
[금융기관]은 휴일 시즌 전까지 모든 정보를 안정적으로 제공할 수 있도록 최선을 다하고 있습니다.

웹사이트 이용 중 불편사항이나 제안이 있다면 언제든지 의견을 남겨주세요.

다시 한 번 [금융기관]을 이용해주셔서 감사합니다."
"To our IBS Customers that are still hanging in there:  We understand your continued frustration and express our sincerest apologies for our inability to give complete and accurate answers to your questions.
The problems that we are seeing are one of three (3) possibilities:  1)  You have entered your password incorrectly (or what you thought was the correct password) and been given the error message that you have exceeded your opportunities for today, and you receive the message ""You have failed to correctly login three times today; please try again tomorrow, or contact the bank at 830-379-5236 to have your password reset.""
This is the easiest problem to correct and we can fix this one quickly with you online (on the phone).
Should you receive this message, please call our Computer Department and ask for either myself (Howard Gordon) @ 830-401-1185, Christina Kirby @ 830-401-1189, or Lora Robles @ 830-401-1182.
If you reach our voice mail (or another employee), please leave your Name, Account # and call back #.
2)  You are not using the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder).
Please try again using the last six (6) digits, or call us to determine who we have recorded as the primary account holder.
3)  If you see this error message ""Invalid login; please try again"" (after three [3] or more tries), then you possibly fall into this last category.
Your account is one of the few that did not convert correctly (we will not release any information about these accounts until we verify that all information is correct and accurate).
We are finalizing these accounts today and should have them available for access this afternoon (late) or this evening.
Once we release these accounts for IBS access, you will have to again use the last six (6) digits of your ssn# (this is the ssn# or tin# of the primary account holder), then you will be directed to a screen that asks for information such as:  Name Address City, State Zip+4 Phone # E-Mail Address  After entering this information and clicking submit, you will then be instructed to change your password to anything that you desire (you can at this point change your password back to what it was before).
Always remember that your password is case sensitive.
Should you get into IBS (before early evening [6:00pm]), the balance and transactional information displayed is as of 11/16/01 (Friday night).
We will have this information updated by 6:00pm (hopefully), and then information will be as of Monday (11/19/01).
Again we want to thank you for your patience through this (trying) ordeal, and we look forward to continuing to service your IBS needs in the future.
Sincerely,
",Internet Banking,"안녕하세요,
오랫동안 기다려주신 [온라인 뱅킹 시스템] 고객 여러분께 깊이 감사드립니다.

현재 접속과 관련하여 발생하고 있는 문제들로 인해 많은 불편을 겪고 계신 점 잘 알고 있으며,
여러분의 지속적인 인내와 좌절감에 대해 진심으로 사과드립니다.
아직도 몇몇 고객 계정에서 정상적인 로그인이 되지 않고 있으며, 이와 관련된 오류는 다음과 같은 세 가지 주요 원인 중 하나일 수 있습니다.

1) 비밀번호 오류 또는 로그인 시도 횟수 초과
시스템에서 “오늘 세 번 이상 올바르게 로그인하지 못했습니다. 내일 다시 시도하시거나 고객센터로 연락해 주세요.”라는 메시지가 나타난 경우입니다.

이 경우는 가장 간단하게 해결될 수 있으며, 고객센터를 통해 빠르게 지원받을 수 있습니다.
해결 방법:
고객센터로 전화하셔서 본인 확인 후 비밀번호 재설정을 요청해 주세요.
담당자: [담당자 이름] ([전화번호])
또는 [이름1], [이름2]에게도 연락하실 수 있습니다.
음성 메일이 연결될 경우, 성함, 계좌 번호, 연락처를 남겨주시면 순차적으로 연락드리겠습니다.

2) 초기 비밀번호 입력 형식 오류
기본 계좌 소유자의 **고유 식별번호 마지막 6자리(예: 주민등록번호 또는 사업자번호)**를 비밀번호로 입력하셔야 합니다.

해당 정보를 사용하여 로그인해 보시고, 잘못된 소유자 정보가 입력된 것 같다면 고객센터에 문의해 주시기 바랍니다.

3) 계정 전환 오류로 인한 접속 실패
로그인 시 반복적으로 “잘못된 로그인입니다. 다시 시도해 주세요.”라는 메시지가 뜨는 경우,
귀하의 계정이 시스템 변환 과정에서 일부 누락된 소수 계정일 수 있습니다.

이 경우 내부에서 정확한 정보 확인 후 수동으로 처리하고 있으며,
오늘 저녁 또는 늦은 오후 중에 접속이 가능할 것으로 예상됩니다.

이 경우에도 로그인 후에는 초기 비밀번호(고유번호 6자리)를 사용하셔야 하며,
이후 이름, 주소, 연락처 등 기본 정보를 입력하신 후 원하는 비밀번호로 변경하실 수 있습니다.

참고사항: 비밀번호는 대소문자를 구분하므로 입력 시 주의해 주세요.

정상적으로 접속하신 경우, 화면에 표시되는 거래 및 잔액 정보는 [최근 기준일] 기준입니다.
오후 [시간] 이후에는 최신 정보로 업데이트될 예정이며, 그다음 업데이트는 [요일/날짜] 기준입니다.

다시 한 번, 이러한 어려운 상황에서도 인내심을 갖고 기다려주셔서 진심으로 감사드립니다.
[온라인 뱅킹 시스템]이 정상적으로 운영될 수 있도록 최선을 다하겠습니다.

감사합니다.
[회사명 드림]"
"Phillip Good Morning!
I hope you had a wonderful Thanksgiving with your family and safe travels.
As per our meeting on Tuesday, please identify people you think will be good for the expert story roles.
You can provide me a list and either contact them first or provide me with an introduction to get their commitment.
Thanks a million in advance for your continued support of this project.
",SMEs for expert stories,"[수신자] 님, 안녕하세요.

최근 연휴를 가족과 함께 평안하게 보내셨기를 바랍니다.

[요일] 회의에서 논의된 내용과 관련하여, [프로젝트/활동명]에서 전문가 역할에 적합할 것 같은 분이 있다면 알려주시겠어요?
해당 인물의 목록을 공유해 주시고, 먼저 연락을 시도하시거나 저희에게 소개해 주시면 감사하겠습니다.
그분들의 참여를 유도하는 데 큰 도움이 될 것입니다.

이 프로젝트에 대한 지속적인 협조와 지원에 미리 감사드립니다.

감사합니다.
[발신자] 드림"
"Phillip,  Ina scheduled the conference room for tomorrow, so she's probably already got it on your schedule, but FYI - our meeting will be in the new Enron building, Room 6104.
See you at 10:00.
Mery   This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information.
If you have received it in error, please notify the sender immediately and delete the original.
Any other use of the email by you is prohibited.
",Room for Tomorrow's Meeting,"[수신자] 님,

[이름1]께서 내일 회의를 위해 회의실을 예약해 두셨으니, 아마 이미 일정에 포함되어 있을 것입니다.
참고로, 저희 회의는 **[회의실/장소명]**에서 진행될 예정입니다.

오전 10시에 뵙겠습니다.

※ 이 메시지는 지정된 수신자에게만 전달되며, 기밀 또는 비공개 정보가 포함되어 있을 수 있습니다.
수신자가 아닌 경우, 즉시 발신자에게 알려주시고 이 메시지를 삭제해 주시기 바랍니다.
무단 열람, 복사, 배포 또는 사용은 엄격히 금지되어 있습니다.

감사합니다.
[발신자]"
"Phillip,  Thank you for meeting with us today.
I want to take a few minutes to summarize the decisions that came out of our meeting.
1.
Feedback Approach: We will incorporate the ideas and suggestions you gave us and move forward with this approach.
2.
SME Review of Knowledge System Topics: When the time comes for Topics reviews, we will send you the name of the SME who is responsible for sign-off on each topic.
3.
Conversion and Arbitrage Problems: We will brainstorm ways to incorporate more problems without going over our 4-6 hour target.
We will meet with you next Tuesday at 10:00 to review the problems as we've designed them so far and arrive at a solution.
(I will send an e-mail Monday with the room number.)
Have a good weekend.
Mery   This message is for the designated recipient only and may contain privileged, proprietary, or otherwise private information.
If you have received it in error, please notify the sender immediately and delete the original.
Any other use of the email by you is prohibited.
",Summary of Today's Meeting,"안녕하세요, [수신자] 님.

오늘 회의에 참석해 주셔서 감사합니다.
다음은 회의에서 논의된 주요 결정 사항의 요약입니다:

1. 피드백 접근 방식: 귀하의 아이디어와 제안을 반영하여, 해당 접근 방식으로 진행하기로 하였습니다.

2. 전문가(SME)의 주제 검토: 주제별 검토가 진행될 때, 해당 주제의 승인을 담당할 SME 명단을 공유드릴 예정입니다.

3. 전환 및 이슈 통합: 목표 시간(예: 4~6시간)을 초과하지 않으면서도 더 많은 사례를 통합할 수 있는 방법에 대해 추가 논의하기로 했습니다.

다음 회의는 **[요일] 오전 [시간]**에 예정되어 있으며, 그 자리에서 지금까지 설계된 항목을 함께 검토하고 해결방안을 논의할 계획입니다.
(회의실 정보는 전날 이메일로 별도 안내드릴 예정입니다.)

좋은 하루 보내시길 바랍니다.
감사합니다.
[발신자]"
"Phillip,  I will get a room for our Wednesday 10:00 meeting and e-mail you with the room number.
FYI, our goal is to discuss the expert path (best answers) for the storage problem and to ask you some specific questions regarding storage.
Also, if you have time, could you send me a definition of Intra-Month Risk?
Thank you for your help.
",Wednesday Meeting,"안녕하세요, [수신자] 님.

[요일] 오전 [시간]에 예정된 회의를 위해 회의실을 예약한 후, 방 번호를 이메일로 안내드릴 예정입니다.

이번 회의의 주요 목적은 [주제]와 관련된 전문가의 관점을 공유하고, 관련 질문들을 보다 구체적으로 논의하는 것입니다.

또한 시간이 되신다면, [정의/자료명] 문서도 함께 공유해 주실 수 있을까요?

항상 협조해 주셔서 감사합니다.
좋은 하루 보내세요.

감사합니다.
[발신자]
"
"To all of our esteemed & prized Internet Banking  (IBS) Clients:  You probably have begun to wonder does anyone ever return phone calls (or e-mails).
We really do but have been holed up trying to complete this project ASAP.
We knew that this might upset some clients, but we found that this is the quickest way to fix this problem and get our users back on-line.
We have finalized the movement of your customer account #s and re-linked your additional accounts back to your primary Login ID (Acct #).
This process was more daunting than we anticipated and having to verify 1100 IBS users and account #s (to insure your data integrity and confidentiality) was even more grueling than expected.
After verifying data and Login IDs, we believe that we are on the right track.
Some of you (our IBS clients) might notice your accounts displayed more than once or additional accounts displayed that you may (or may not) want displayed on your IBS screen.
Should this be the case, please e-mail (or phone) the information to us and we will remove this information right away.
To our IBS Billpayer clients:  During this process, we seem to have misplaced (blown away) your bill payment information (particularly anyone that has [had] reoccurring payments scheduled to process on particular days).
This has become our highest priority to retrieve this information, thus alleviating the process of having to request that our IBS Billpayers re-enter this information.
We are going to waive all bill payment charges for the months of November & December, 2001 to try and regain your confidence (and support).
Again, we deeply express our regrets and hope that we (yourselves and ourselves) do not have to go through this process again.
Should you be one of our IBS clients that still has not gained access to your account information, please refer to the following information:
",How do I eat crow and still make it tasty???????,"존경하는 고객 여러분께,

최근 시스템 전환과 관련된 불편에 대해 진심으로 사과드립니다.
여러분 중 일부는 저희가 전화나 이메일에 응답하고 있는지 궁금해하실 수 있습니다.
현재 저희 팀은 서비스 정상화를 최대한 신속히 완료하기 위해 전력을 다하고 있으며, 모든 문의에 순차적으로 응답드리고 있습니다.

이번 조치가 일부 고객님께 불편을 드릴 수 있다는 점을 저희도 잘 알고 있으며, 보다 빠르고 안정적인 시스템 제공을 위한 최선의 방법이라 판단하여 시행한 조치입니다.
현재 고객님의 계정 정보 통합 및 로그인 정보 정비를 마쳤으며, 추가 계정 연결 및 확인 작업도 진행 중입니다.

일부 고객님께서는 화면에 중복 계좌 또는 원치 않는 계좌가 표시되는 현상을 경험하실 수 있습니다.
이 경우 이메일이나 전화로 알려주시면, 신속히 조치해 드리겠습니다.

정기 결제 기능을 이용하시는 고객님께 안내드립니다:
일부 고객의 청구 정보 또는 자동 결제 예약 내역이 손실되었을 수 있습니다.
저희는 이 정보를 복구하는 데 최우선으로 노력하고 있으며, 그동안의 불편에 대한 조치로 특정 기간의 청구 수수료를 전액 면제해 드릴 예정입니다.

고객님의 신뢰와 성원에 진심으로 감사드리며, 향후 동일한 문제가 재발하지 않도록 최선을 다하겠습니다.

계정 접근에 어려움이 있으시거나 추가 도움이 필요하신 경우, 별도 안내드린 절차에 따라 문의해 주시기 바랍니다.

감사합니다.
[발신자]"
"Wade,   I understood your number one priority was to deal with your vehicle  situation.
You need to take care of it this week.
Lucy can't hold the  tenants to a standard (vehicles must be in running order with valid stickers)  if the staff doesn't live up to it.
If you decide to buy a small truck and  you want to list me as an employer for credit purposes, I will vouch for your  income.
Phillip
",For Wade,"안녕하세요, [수신자] 님.

현재 차량 관련 문제를 우선적으로 해결해야 하는 상황임을 잘 알고 있습니다.
이번 주 안에 처리하시는 것이 중요해 보입니다.

[이름1] 님은, 직원들이 해당 조건을 충족하지 못할 경우 **입주자에게 차량 기준(예: 유효한 스티커 부착 및 작동 상태 유지)**을 적용하기 어렵다고 설명하셨습니다.

또한, 소형 차량 구매를 결정하셨고, 그 과정에서 신용 관련 서류에 저를 고용주로 기재하고자 하신다면,
귀하의 소득을 제가 보증해 드릴 수 있습니다.

감사합니다.
[발신자]
"
"Will,   Here is a list of the top items we need to work on to improve the position  and p&l reporting for the west desk.
My underlying goal is to create position managers and p&l reports that  represent all the risk held by the desk and estimate p&l with great accuracy.
Let's try and schedule a meeting for this Wednesday to go over the items  above.
Phillip
",Priority List,"안녕하세요, [수신자] 님.

포지션 및 손익 보고 체계 개선을 위해 검토해야 할 주요 항목 목록을 정리했습니다.
이번 작업의 핵심 목표는, 보유 중인 모든 리스크를 반영하고 손익을 보다 정밀하게 추정할 수 있는 포지션 관리 및 손익 보고 체계를 구축하는 것입니다.

이와 관련하여 함께 논의하기 위해 [요일]에 회의 일정을 조율해보면 좋겠습니다.

감사합니다.
[발신자]"
